district,policy,feature,policy_type,policy_value,supply_before,supply_after,gap_before,gap_after,gap_delta,raw_welfare_budget_per_capita_before,raw_welfare_budget_per_capita_after,raw_public_sports_facilities_count_before,raw_public_sports_facilities_count_after,raw_parks_count_before,raw_parks_count_after,raw_libraries_count_before,raw_libraries_count_after,raw_medical_institutions_count_before,raw_medical_institutions_count_after,raw_health_promotion_centers_count_before,raw_health_promotion_centers_count_after,raw_elderly_leisure_welfare_facilities_count_before,raw_elderly_leisure_welfare_facilities_count_after,raw_in_home_elderly_welfare_facilities_count_before,raw_in_home_elderly_welfare_facilities_count_after,raw_cultural_satisfaction_before,raw_cultural_satisfaction_after
용산구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,22.5032633041716,22.5032633041716,8.24644250039276,8.24644250039276,0.0,,,41.0,42.0,,,,,,,,,,,,,,
성동구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,29.707849040747323,29.707849040747323,9.498425136507809,9.498425136507809,0.0,,,115.0,116.0,,,,,,,,,,,,,,
광진구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,23.579694423333212,23.579694423333212,31.347035453348266,31.347035453348266,0.0,,,115.0,116.0,,,,,,,,,,,,,,
동대문구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,31.718312078736787,31.718312078736787,-0.519498581949378,-0.519498581949378,0.0,,,62.0,63.0,,,,,,,,,,,,,,
중랑구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,40.23835413063705,40.23835413063705,17.689962958910648,17.689962958910648,0.0,,,137.0,138.0,,,,,,,,,,,,,,
성북구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,45.73904685497631,45.73904685497631,4.030870606855743,4.030870606855743,0.0,,,161.0,162.0,,,,,,,,,,,,,,
강북구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,31.592485374275686,31.592485374275686,39.67000063702611,39.67000063702611,0.0,,,148.0,149.0,,,,,,,,,,,,,,
도봉구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,37.243119629871735,37.243119629871735,22.937372477005248,22.937372477005248,0.0,,,103.0,104.0,,,,,,,,,,,,,,
노원구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,66.93935888849595,66.93935888849595,-1.1804425459799859,-1.1804425459799859,0.0,,,234.0,235.0,,,,,,,,,,,,,,
은평구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,40.570071542657715,40.570071542657715,6.042738377219848,6.042738377219848,0.0,,,58.0,59.0,,,,,,,,,,,,,,
서대문구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,36.96226431259595,36.96226431259595,15.463330436353985,15.463330436353985,0.0,,,142.0,143.0,,,,,,,,,,,,,,
마포구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,37.029831695065866,37.029831695065866,-1.9478185242547923,-1.9478185242547923,0.0,,,135.0,136.0,,,,,,,,,,,,,,
양천구,public_sports_facilities_count +1개,public_sports_facilities_count,abs,1.0,44.3601560171129,44.3601560171129,-6.8547261767620284,-6.8547261767620284,0.0,,,162.0,163.0,,,,,,,,,,,,,,
