district,Need_Index_recomputed,need_factor,contrib_score,contrib_share_pct,rank_in_district
종로구,46.99458823599309,suicide_rate,9.280575539568344,19.748179286014818,1.0
중구,25.751992993461695,suicide_rate,7.553956834532374,29.333484349930846,1.0
용산구,28.635825891243528,suicide_rate,3.381294964028777,11.807918433610585,4.0
성동구,35.60941147003254,suicide_rate,7.769784172661872,21.819468089779054,1.0
광진구,50.214372447111245,suicide_rate,8.057553956834534,16.04631017806949,3.0
동대문구,29.09292412027472,suicide_rate,5.1079136690647475,17.557237106685562,1.0
중랑구,55.883799193392285,suicide_rate,8.633093525179856,15.44829387011439,1.0
성북구,47.25257709592036,suicide_rate,5.179856115107913,10.962060555116532,4.0
강북구,69.98988948240813,suicide_rate,9.06474820143885,12.951510951760056,4.0
도봉구,61.53574372157645,suicide_rate,6.330935251798563,10.288224158699375,4.0
노원구,62.433980158149296,suicide_rate,6.6906474820143895,10.716355845112787,5.0
은평구,49.24304524833475,suicide_rate,5.467625899280574,11.103346415127469,6.0
서대문구,53.0568594472265,suicide_rate,3.7410071942446037,7.050939752598119,5.0
마포구,33.37438079747813,suicide_rate,6.258992805755396,18.75388443529818,2.0
양천구,37.656030369467494,suicide_rate,4.316546762589928,11.463095605770219,5.0
강서구,53.87485557342007,suicide_rate,5.179856115107913,9.614607890779144,5.0
구로구,48.08680854417838,suicide_rate,6.043165467625899,12.567200133637304,2.0
금천구,52.6753857253952,suicide_rate,10.0,18.98419890483863,1.0
영등포구,30.680959207086694,suicide_rate,0.07194244604316394,0.23448564811020203,10.0
동작구,48.85204000883801,suicide_rate,4.60431654676259,9.425024105297558,5.0
관악구,61.54133021717184,suicide_rate,9.280575539568344,15.080232271253037,3.0
서초구,16.123895065685307,suicide_rate,0.0,0.0,9.0
강남구,33.824319783160405,suicide_rate,5.467625899280574,16.164777102192183,2.0
송파구,46.36610979595306,suicide_rate,3.5251798561151078,7.602923496555222,7.0
강동구,44.57214139916917,suicide_rate,5.467625899280574,12.266913205526382,3.0
종로구,46.99458823599309,depression_experience_rate,3.692307692307692,7.8568784851694025,8.0
중구,25.751992993461695,depression_experience_rate,3.2307692307692313,12.545705614278118,4.0
용산구,28.635825891243528,depression_experience_rate,3.3846153846153846,11.819513770861265,3.0
성동구,35.60941147003254,depression_experience_rate,3.3846153846153846,9.50483382030546,4.0
광진구,50.214372447111245,depression_experience_rate,8.307692307692307,16.544451125905162,1.0
동대문구,29.09292412027472,depression_experience_rate,0.0,0.0,9.0
중랑구,55.883799193392285,depression_experience_rate,4.461538461538462,7.983599050055272,6.0
성북구,47.25257709592036,depression_experience_rate,5.846153846153845,12.372137575240492,3.0
강북구,69.98988948240813,depression_experience_rate,5.538461538461538,7.91323086722922,7.0
도봉구,61.53574372157645,depression_experience_rate,10.0,16.250717705218328,1.0
노원구,62.433980158149296,depression_experience_rate,9.538461538461537,15.277676538160788,2.0
은평구,49.24304524833475,depression_experience_rate,3.3846153846153846,6.873286100700366,8.0
서대문구,53.0568594472265,depression_experience_rate,9.384615384615383,17.68784561014185,2.0
마포구,33.37438079747813,depression_experience_rate,6.153846153846155,18.438832442132252,3.0
양천구,37.656030369467494,depression_experience_rate,2.153846153846154,5.719790781750988,9.0
강서구,53.87485557342007,depression_experience_rate,6.615384615384615,12.279169094698066,2.0
구로구,48.08680854417838,depression_experience_rate,4.3076923076923075,8.95815804397736,6.0
금천구,52.6753857253952,depression_experience_rate,4.3076923076923075,8.17780875900741,6.0
영등포구,30.680959207086694,depression_experience_rate,1.2307692307692304,4.011508318439232,9.0
동작구,48.85204000883801,depression_experience_rate,4.0,8.187989691477254,6.0
관악구,61.54133021717184,depression_experience_rate,6.307692307692308,10.249522207975083,6.0
서초구,16.123895065685307,depression_experience_rate,4.461538461538462,27.670351632549743,1.0
강남구,33.824319783160405,depression_experience_rate,4.769230769230769,14.1000049662644,3.0
송파구,46.36610979595306,depression_experience_rate,8.461538461538463,18.249403494871174,2.0
강동구,44.57214139916917,depression_experience_rate,7.230769230769229,16.222620237187012,2.0
종로구,46.99458823599309,perceived_stress_rate,8.854166666666668,18.8408218882643,2.0
중구,25.751992993461695,perceived_stress_rate,2.499999999999999,9.707986487239015,5.0
용산구,28.635825891243528,perceived_stress_rate,3.020833333333333,10.549139894921158,5.0
성동구,35.60941147003254,perceived_stress_rate,5.625,15.79638575249629,3.0
광진구,50.214372447111245,perceived_stress_rate,8.229166666666668,16.388070318580827,2.0
동대문구,29.09292412027472,perceived_stress_rate,3.437499999999998,11.815587823997452,5.0
중랑구,55.883799193392285,perceived_stress_rate,6.666666666666667,11.92951582192167,4.0
성북구,47.25257709592036,perceived_stress_rate,8.750000000000002,18.517508541889562,1.0
강북구,69.98988948240813,perceived_stress_rate,7.5,10.715833466039571,5.0
도봉구,61.53574372157645,perceived_stress_rate,4.791666666666665,7.786802233750446,7.0
노원구,62.433980158149296,perceived_stress_rate,9.270833333333334,14.84901861109882,3.0
은평구,49.24304524833475,perceived_stress_rate,0.0,0.0,10.0
서대문구,53.0568594472265,perceived_stress_rate,9.375000000000002,17.669722817508514,3.0
마포구,33.37438079747813,perceived_stress_rate,2.604166666666667,7.80289133293357,6.0
양천구,37.656030369467494,perceived_stress_rate,4.687500000000001,12.448205384391102,3.0
강서구,53.87485557342007,perceived_stress_rate,5.416666666666666,10.054164617267311,4.0
구로구,48.08680854417838,perceived_stress_rate,4.0625,8.448262887456327,7.0
금천구,52.6753857253952,perceived_stress_rate,4.270833333333332,8.107834948941496,7.0
