"자치구별(1)","자치구별(2)",성별(1),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)","자치구별(2)",성별(1),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)",성별(1),소계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
"합계","양천구",계,47886,122,1205,4692,5601,3600,3204,2785,3317,3480,4441,4883,3759,2950,2135,1712
"합계","양천구",남자,21752,56,416,2051,3089,2111,1850,1573,1842,1900,2084,1915,1277,798,446,344
"합계","양천구",여자,26134,66,789,2641,2512,1489,1354,1212,1475,1580,2357,2968,2482,2152,1689,1368
"합계","강서구",계,106748,228,4548,18337,18893,10420,7433,5625,5763,5476,6639,7672,5554,4430,3180,2550
"합계","강서구",남자,48113,81,1161,7171,9640,5799,4180,3161,3372,2926,3017,3051,1933,1365,771,485
"합계","강서구",여자,58635,147,3387,11166,9253,4621,3253,2464,2391,2550,3622,4621,3621,3065,2409,2065
"합계","구로구",계,62632,226,2723,9545,9316,5463,4154,3436,4020,3874,4523,4765,3622,3082,2254,1629
"합계","구로구",남자,30421,98,928,4253,5176,3311,2450,2096,2482,2329,2327,1995,1225,855,563,333
"합계","구로구",여자,32211,128,1795,5292,4140,2152,1704,1340,1538,1545,2196,2770,2397,2227,1691,1296
"합계","금천구",계,53858,128,2448,10350,9171,4525,3255,2526,3221,3524,4010,3668,2486,1989,1532,1025
"합계","금천구",남자,28311,44,797,4859,5446,2906,2117,1612,2093,2178,2300,1779,931,643,358,248
"합계","금천구",여자,25547,84,1651,5491,3725,1619,1138,914,1128,1346,1710,1889,1555,1346,1174,777
"합계","영등포구",계,79698,156,3963,16801,16083,8053,5197,3855,4235,3828,4189,4149,3033,2597,2012,1547
"합계","영등포구",남자,38726,65,1056,7047,8731,4599,3013,2290,2603,2331,2355,1938,1121,785,471,321
"합계","영등포구",여자,40972,91,2907,9754,7352,3454,2184,1565,1632,1497,1834,2211,1912,1812,1541,1226
"합계","동작구",계,75148,856,8991,16673,12110,6090,4252,3355,3338,3082,3447,3770,2958,2641,2005,1580
"합계","동작구",남자,35880,362,3657,8168,6892,3553,2431,1947,1955,1671,1614,1389,880,600,436,325
"합계","동작구",여자,39268,494,5334,8505,5218,2537,1821,1408,1383,1411,1833,2381,2078,2041,1569,1255
"합계","관악구",계,153605,1002,16175,41982,29730,12777,8653,6308,6379,5711,6026,6002,4476,3762,2780,1842
"합계","관악구",남자,81133,484,6644,21200,17801,8061,5541,4132,4197,3525,3225,2652,1600,1042,639,390
"합계","관악구",여자,72472,518,9531,20782,11929,4716,3112,2176,2182,2186,2801,3350,2876,2720,2141,1452
"합계","서초구",계,49443,210,2087,7218,8661,5677,4464,3374,3325,2580,2538,2819,2203,1938,1280,1069
"합계","서초구",남자,21581,73,701,3027,4385,2880,2244,1657,1698,1248,1061,1012,616,488,262,229
"합계","서초구",여자,27862,137,1386,4191,4276,2797,2220,1717,1627,1332,1477,1807,1587,1450,1018,840
"합계","강남구",계,79274,344,3128,11788,14217,9359,7831,5588,4862,3763,3778,4336,3520,2985,2074,1701
"합계","강남구",남자,34215,165,1022,4774,6986,4643,3766,2786,2494,1913,1649,1463,1022,748,464,320
"합계","강남구",여자,45059,179,2106,7014,7231,4716,4065,2802,2368,1850,2129,2873,2498,2237,1610,1381
"합계","송파구",계,89720,244,2913,13955,16673,9846,7497,5363,5480,4659,5444,5828,4200,3416,2377,1825
"합계","송파구",남자,39610,101,901,5498,8239,5018,3864,2797,3023,2415,2430,2149,1355,918,539,363
"합계","송파구",여자,50110,143,2012,8457,8434,4828,3633,2566,2457,2244,3014,3679,2845,2498,1838,1462
"합계","강동구",계,65601,145,2297,9511,9378,5413,4532,3798,4322,4193,5408,5839,4121,3079,2050,1515
"합계","강동구",남자,30163,70,715,3704,4915,3047,2477,2191,2468,2409,2647,2362,1413,913,502,330
"합계","강동구",여자,35438,75,1582,5807,4463,2366,2055,1607,1854,1784,2761,3477,2708,2166,1548,1185
