district,Need_Index,Predicted_Need_by_Supply,Inefficiency
도봉구,64.04724797892635,57.965442420433334,6.081805558493016
관악구,62.96782683755067,56.907631850096486,6.060194987454182
노원구,60.881264648980284,55.064263531012124,5.817001117968161
강북구,68.7125859078337,63.19787576643389,5.51471014139981
종로구,50.495696351893415,45.080322833366694,5.415373518526721
동작구,50.83406009574813,45.729069555418164,5.104990540329965
서대문구,55.64666822036183,51.22952360685872,4.417144613503112
구로구,50.44688008419886,48.06460719741092,2.3822728867879377
광진구,49.83057886592448,47.47892734524408,2.3516515206803987
은평구,52.105468336835024,49.87304015719073,2.2324281796442946
금천구,58.59799156799441,56.48203682419382,2.115954743800593
성북구,44.132207496815994,42.46019404356887,1.672013453247125
송파구,43.052236092790984,41.62264616729158,1.4295899254994069
강동구,47.54421717235644,46.60276488194212,0.9414522904143183
강서구,50.83597203682388,50.577992721549585,0.25797931527429796
강남구,30.519095794953806,31.69176820003194,-1.172672405078135
마포구,36.89912127573454,38.61967821919877,-1.7205569434642314
중랑구,54.49513733405921,56.3534690546299,-1.858331720570689
양천구,39.3180313381337,42.56706021236407,-3.249028874230369
성동구,37.74004225104,43.76404177080303,-6.023999519763031
용산구,30.254233816090718,36.28267008766143,-6.028436271570712
영등포구,29.49229731437578,35.812062592698176,-6.3197652783223965
서초구,15.76718350365594,24.899814990594603,-9.132631486938664
동대문구,26.923943737472875,36.84665078085985,-9.922707043386971
중구,27.023789106138913,37.198145840087435,-10.174356733948521
