welfare_budget_per_capita,public_sports_facilities_count,parks_count,libraries_count,medical_institutions_count,health_promotion_centers_count,elderly_leisure_welfare_facilities_count,in_home_elderly_welfare_facilities_count,cultural_satisfaction,district,Inefficiency,Quadrant
0.3785022507980466,-0.25696326203644276,-1.1979794450849295,-4.510642706118524,0.33544065387919547,0.3318235383555293,-1.5180268604308367,-1.0110074901953339,0.3417335305828601,종로구,25.125028941025207,C
0.25538448601961133,0.05210747711360455,-1.0944027343392373,3.136422731913626,0.36608592662960293,0.05987966548651457,1.5858698493614793,-0.7954544148221612,0.29614084799773993,성동구,2.6551256538664845,B
-0.3345697613805532,0.11101727528497576,-1.6204840848688036,3.2129023774713277,-0.0873955848813057,0.05356632091104984,-1.3335768150538205,-0.7677900173980743,0.6440020201355219,광진구,23.046120122496646,C
0.39737400706857445,-0.02298512153327465,-1.1260059382021428,2.9815427637286485,-0.037976818289607764,0.03136482987552881,-1.065912146680057,1.2373930529505015,0.10376645693555474,중랑구,22.208077205036574,D
0.8480668633803725,0.062154396809637545,2.8125545482337473,-1.6372632215172052,0.057422284558415415,0.045925656780600545,1.7544618963450194,1.7863477079570294,0.3898842821735889,성북구,6.092774552566276,A
0.3235919985920191,0.11451306130737066,-1.7161062912642955,3.2888020551763475,0.36087485091760757,-0.3478104179725051,-1.5519847906380893,-0.764927492775023,0.11465015973895788,강북구,33.76156221924279,C
0.3828112555295229,0.1756984343379736,-1.6641688739228995,2.988277102196589,0.272136455681175,-0.3754368109628558,-1.0367321214824914,1.2930450605414807,-1.015282808355987,도봉구,23.34281599166559,D
0.6134130315482617,0.09088574312627315,0.7230486005637795,-1.7012465928308667,0.02522799953818321,0.2738420846313238,1.548479069909081,1.6447636748105288,-1.1139562799409033,노원구,31.1129533777164,D
0.6186560454964638,0.1574987999536097,2.6683735354989766,2.8385134916752577,0.10565560143440962,0.06505269572138786,1.795287968404591,1.4396139304339886,0.7933526069670915,은평구,1.8433714806301893,A
0.4609014831855893,0.18133272942155598,1.6074488722532987,-1.5214316073805094,0.1842231009528041,0.057276354916393754,-1.4983780706673862,-1.2078270061220975,-0.07103691827505827,서대문구,21.413460793814345,C
-0.6614621417224407,0.04763286761939525,2.130751821361482,2.718978086672723,-0.01729284331202507,-0.4480810090526938,1.7027270804345607,-0.8833556122798473,-0.6295548406243324,마포구,1.1632971067414744,B
0.6424448475986719,-0.18070222359150648,0.7732236990705132,-1.4937476110458374,-0.18550125502049922,0.04504940710961819,1.768057516310364,1.7341307746618986,0.0532399221137166,강서구,17.46798070709471,D
0.4990215350314975,-0.1109213276207447,-1.2920271560922265,-1.7136780537292362,-0.018861111626029013,0.04646178960800171,1.7208504323288798,-0.9056870859488845,0.11336998658254743,구로구,15.10546828678143,D
0.2857759667932987,0.35532150603830814,-1.7328910181391983,3.3329964341409504,0.2969009904190898,0.04300732389092445,-1.4739713619463146,-0.8012119453586638,0.091502845287323,금천구,25.086675373694803,C
-0.46631188489496705,0.18043879767879845,-1.8139494697377085,-1.7717185955122112,-0.042570101004093884,0.04452041368931532,-1.1570877325162292,-1.1685784607753158,0.06688023094087839,동작구,20.168814781948697,C
0.20964895658195018,-0.06916596975177526,2.6276885048672556,2.7465913956984878,0.09306128352880477,0.044419125579297544,-1.151581944078207,1.411285801678896,0.758195319250226,관악구,31.705213147256906,D
-1.429007038064301,0.18943619288504124,2.070266577070579,-1.894986119652167,-0.4142856669612229,0.338040624409914,1.7193714818824082,-1.038967851633206,0.32557773659937084,강남구,4.40464800693492,A
-1.449544510655105,-0.2524313108250499,0.583117936141789,-1.8665637224912643,-0.44816323405131697,0.31934327449649574,1.7454154190886766,1.6900220039207487,0.6656188887171447,송파구,12.241782965539038,D
0.5277735755220055,0.5845225901156664,2.776805379316211,2.9725288912840186,-0.03618713710457087,0.054267501011490825,-0.9161026037484408,1.5552577621489763,0.7438181816600263,강동구,4.434749170337724,A
